진료년도,시도,행위코드,환자수,명세서건수,의료행위총사용량,의료행위청구금액
2024,경기,N0942,220,221,220,35213527
2024,경기,N0951,35,39,42,2196854
2024,경기,N0952,82,83,103,44635567
2024,경기,N0953,25,25,28,20321929
2024,경기,N0961,5,6,6,248887
2024,경기,N0962,188,188,219,79147317
2024,경기,N0963,88,91,141,70008917
2024,경기,N0964,3,3,4,3952524
2024,경기,N0965,73,73,87,26844545
2024,경기,N0966,604,607,777,493589157
2024,경기,N0967,3,3,4,3661737
2024,경기,N0971,2,2,2,41420
2024,경기,N0972,1072,1133,1353,331261429
2024,경기,N0973,1455,1485,1673,416748855
2024,경기,N0974,3075,3135,3685,964704975
2024,경기,N0975,5262,5342,6077,1022057000
2024,경기,N0976,4559,4628,5499,764222508
2024,경기,N0977,15842,16107,18198,3623322433
2024,경기,N0978,2785,2857,3077,231472531
2024,경기,N0979,19584,21673,23246,1166485938
2024,경기,N0981,66,79,113,63137002
2024,경기,N0982,179,186,199,58104792
2024,경기,N0983,207,223,255,53935342
2024,경기,N0984,23,23,25,7638755
2024,경기,N0985,46,47,57,10536542
2024,경기,N0986,168,179,209,103435769
2024,경기,N0991,94,96,99,26959126
2024,경기,N0992,505,511,568,124981114
2024,경기,N0994,1,1,1,219010
2024,경기,N0995,522,528,586,94425140
2024,경기,N0996,1171,1181,1266,316123933
2024,경기,N0997,156,157,155,36953036
2024,경기,N0998,194,198,223,65582193
2024,경기,N0999,149,151,151,36460356
2024,경기,N1000,272,279,273,53614622
2024,경기,N1001,87,90,98,24808888
2024,경기,N1010,2450,2483,2622,847326266
2024,경기,N1011,1461,1491,1604,505565840
2024,경기,N1012,8190,8308,8839,4491948604
2024,경기,N1013,998,1020,1090,627033072
2024,경기,N1014,3100,3141,3468,1970032177
2024,경기,N1015,930,945,1030,727963777
2024,경기,N1016,280,289,326,193360062
2024,경기,N1017,528,540,589,416926771
2024,경기,N1018,518,521,514,128632253
2024,경기,N1019,991,1004,1055,532853387
2024,경기,N1020,302,306,325,191913027
2024,경기,N1021,10,10,17,7011534
2024,경기,N1131,555,1411,1411,53618080
2024,경기,N1132,285,849,849,64233387
2024,경기,N1133,89,297,297,34093715
2024,경기,N1134,122,380,380,60340908
2024,경기,N1135,32,114,527,11657826
2024,경기,N1430,3746,4486,5240,413510880
2024,경기,N1431,1052,1511,2430,87716998
2024,경기,N1432,1704,1981,2796,279502170
2024,경기,N1433,11727,15388,18331,1466814014
2024,경기,N1434,99343,332597,573280,20881815123
2024,경기,N1435,1186,2604,2633,110542833
